registry_version,created_at,framework_id,name,category,purpose,artifact_path,status,validation,owner,next_action,priority,last_updated,notes,entity_type,selected,profile,package_id,package_source,install_method,install_prompt_path,update_prompt_path,verify_prompt_path,uninstall_prompt_path,dependencies,provides_capabilities,exposes_control_plane,child_registry_path,params_schema_path,version_current,version_target,ci_gate,safety_level,ops_notes
v0.2,2026-01-15 00:59:22,FMWK-001,Repo OS Spec,Governance,"Defines repo operating system: structure, invariants, naming, workflows.",/runbooks/governance/repo_os_spec.md,active,none,you,Draft skeleton + invariants + folder map,P0,2026-01-15 01:05:06,,framework,yes,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,"repo_structure,bootstrap",no,,,,,required,standard,
v0.2,2026-01-15 00:59:22,FMWK-002,Prompt Governance Framework,Governance,"Versioning, approvals, deprecations, eval gates for prompts/agents.",/runbooks/governance/prompt_governance.md,missing,none,you,Define prompt registry schema + versioning rules,P0,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,FMWK-052,"prompt_versioning,approvals,deprecation",no,,,,,required,standard,
v0.2,2026-01-15 00:59:22,FMWK-003,Change Control & Release Process,Governance,"Semantic versioning, changelog rules, rollback/hotfix path.",/runbooks/governance/release_process.md,missing,none,you,Define release tags + changelog template,P1,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,standard,
v0.2,2026-01-15 00:59:22,FMWK-004,Architecture Decision Records (ADR),Governance,Lightweight decision log for architecture and product choices.,/runbooks/governance/adr_process.md,missing,none,you,Add ADR template + rules for when to write,P1,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,standard,
v0.2,2026-01-15 00:59:22,FMWK-005,Definition of Done (Quality Bar),Governance,"Uniform completion criteria across prompts, code, tests, docs, security.",/runbooks/governance/definition_of_done.md,active,none,you,Create DoD checklist used in PRs,P0,2026-01-15 01:05:06,,framework,yes,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,"quality_bar,definition_of_done",no,,,,,required,standard,
v0.2,2026-01-15 00:59:22,FMWK-010,Backlog & Epic/Story Templates,Delivery,Work item templates tuned for agent-assisted builds; acceptance criteria first.,/runbooks/delivery/backlog_templates.md,missing,none,you,Create issue templates + acceptance test pattern,P1,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,standard,
v0.2,2026-01-15 00:59:22,FMWK-011,Iteration Loop (Lightweight Sprint),Delivery,Plan→Build→Evaluate→Ship→Retro loop optimized for velocity.,/runbooks/delivery/iteration_loop.md,missing,none,you,Define cadence + artifacts created each cycle,P2,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,standard,
v0.2,2026-01-15 00:59:22,FMWK-012,PR Workflow & Review Checklist,Delivery,"PR checklist incl. prompt diffs, evidence, tests, governance gates.",/runbooks/delivery/pr_workflow.md,missing,none,you,Create PR template + required checks list,P0,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,"FMWK-005,FMWK-022","pull_request_process,review_checklist",no,,,,,required,standard,
v0.2,2026-01-15 00:59:22,FMWK-013,Issue Triage & Severity Model,Delivery,"How to classify and prioritize bugs, drift, incidents, debt.",/runbooks/delivery/triage_severity.md,missing,none,you,Define Sev0-3 and response expectations,P1,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,standard,
v0.2,2026-01-15 00:59:22,FMWK-020,Project Scaffold Generator,Harness,Template for new services/apps with standard structure and defaults.,/runbooks/harness/scaffold_generator.md,missing,none,you,Pick tool (copier/cookiecutter) and define base template,P1,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,standard,
v0.2,2026-01-15 00:59:22,FMWK-021,Local Dev Harness,Harness,One-command dev/test/lint; pre-commit hooks; onboarding steps.,/runbooks/harness/local_dev_harness.md,missing,none,you,Add Makefile/task runner spec + env bootstrap,P0,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,"local_dev_commands,precommit",no,,,,,required,standard,
v0.2,2026-01-15 00:59:22,FMWK-022,CI/CD Standard Pipeline,Harness,Build/test/lint/security/package/deploy stages + gating rules.,/runbooks/harness/ci_cd_standard.md,missing,none,you,Define CI stages + required status checks,P0,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,FMWK-021,"ci_pipeline,gating",no,,,,,required,standard,
v0.2,2026-01-15 00:59:22,FMWK-023,Configuration Management Standard,Harness,"Config layering, env vars, secrets, per-env overrides, defaults.",/runbooks/harness/config_management.md,missing,none,you,Define config hierarchy + examples,P1,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,standard,
v0.2,2026-01-15 00:59:22,FMWK-024,Observability Standard,Harness,"Logging/metrics/traces, correlation IDs, basic SLOs, dashboards hooks.",/runbooks/harness/observability_standard.md,missing,none,you,Define minimum telemetry + error taxonomy,P2,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,standard,
v0.2,2026-01-15 00:59:22,FMWK-030,Evaluation Framework (Evals),LLM Quality,"Golden tests, regression suite, scoring, thresholds, drift detection.",/runbooks/llm_quality/evals_framework.md,missing,none,you,Define eval dataset format + scoring + CI gate,P0,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,"FMWK-031,FMWK-033","evals,regression_testing,drift_detection",no,,,,,required,high,
v0.2,2026-01-15 00:59:22,FMWK-031,Prompt+Model Interface Contract,LLM Quality,"Input/output schemas, tool contracts, error modes, retries/fallbacks.",/runbooks/llm_quality/interface_contract.md,missing,none,you,Define tool schema + response contract + retry policy,P0,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,"llm_interface_contract,tool_schema",no,,,,,required,high,
v0.2,2026-01-15 00:59:22,FMWK-032,RAG / Context Policy,LLM Quality,"Retrieval policy, citations, freshness rules, source ranking, guardrails.",/runbooks/llm_quality/rag_context_policy.md,missing,none,you,Define source tiers + citation requirements,P1,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,high,
v0.2,2026-01-15 00:59:22,FMWK-033,Safety & Policy Layer,LLM Quality,"Prompt injection defenses, PII handling, red-team checklist, safe tools.",/runbooks/llm_quality/safety_policy_layer.md,missing,none,you,Define safety checklist + threat model,P0,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,"safety_guardrails,pii_handling,prompt_injection_defense",no,,,,,required,critical,
v0.2,2026-01-15 00:59:22,FMWK-034,Human-in-the-Loop Review,LLM Quality,When humans must approve; how feedback becomes evals and improvements.,/runbooks/llm_quality/hitl_review.md,missing,none,you,Define HITL triggers + review forms,P2,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,high,
v0.2,2026-01-15 00:59:22,FMWK-040,Infrastructure-as-Code Baseline,AWS Delivery,"Default IaC approach, env strategy, state management, modules.",/runbooks/aws_delivery/iac_baseline.md,missing,none,you,Choose Terraform vs CDK baseline and document patterns,P0,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,"FMWK-041,FMWK-042","iac,environment_strategy",no,,,,,required,high,
v0.2,2026-01-15 00:59:22,FMWK-041,Identity & Access Framework,AWS Delivery,"Least privilege, roles per service, secrets + KMS strategy.",/runbooks/aws_delivery/iam_framework.md,missing,none,you,Define role patterns + secrets handling,P1,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,high,
v0.2,2026-01-15 00:59:22,FMWK-042,Network / Boundary Template,AWS Delivery,"VPC patterns, endpoints, service boundaries, ingress/egress rules.",/runbooks/aws_delivery/network_template.md,missing,none,you,Define minimal network patterns and diagrams,P2,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,high,
v0.2,2026-01-15 00:59:22,FMWK-043,Deployment Patterns,AWS Delivery,Blue/green or canary baseline; rollback procedure; env promotion.,/runbooks/aws_delivery/deployment_patterns.md,missing,none,you,Define minimal safe deploy + rollback flow,P2,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,high,
v0.2,2026-01-15 00:59:22,FMWK-044,Cost & Tagging Standard,AWS Delivery,"Tag taxonomy, cost ownership, budgets/alarms, reporting.",/runbooks/aws_delivery/cost_tagging_standard.md,missing,none,you,Define tag keys + budget alarms baseline,P2,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,high,
v0.2,2026-01-15 00:59:22,FMWK-050,Project Knowledge Base Pattern,Knowledge,"Docs structure, single source of truth rules, where decisions live.",/runbooks/knowledge/kb_pattern.md,missing,none,you,Define docs tree + what goes where,P1,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,,no,,,,,optional,standard,
v0.2,2026-01-15 00:59:22,FMWK-051,Chat/Artifact Capture Workflow,Knowledge,"How chats become ADRs, tasks, prompts, code changes; traceability.",/runbooks/knowledge/chat_capture_workflow.md,missing,none,you,Define capture steps + naming + linking rules,P0,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,FMWK-004,,no,,,,,required,standard,
v0.2,2026-01-15 00:59:22,FMWK-052,Index/Registry System,Knowledge,CSV registries for prompts/runbooks/services/releases; generation rules.,/runbooks/knowledge/index_registry_system.md,missing,none,you,Define registry schemas + generation outputs,P0,2026-01-15 01:05:06,,framework,no,personal,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,"registries,control_plane_index",no,,,,,required,standard,
v0.3,2026-01-15 02:40:00,FMWK-900,Repo OS Module,Module,Hierarchical module implementing repo operating system; exposes its own control plane.,/modules/repo_os/README.md,active,ci,you,Fill remaining Repo OS planned items via created-items registry.,P0,,,module,yes,,,,llm,/control_plane/prompts/install.md,/control_plane/prompts/update.md,/control_plane/prompts/verify.md,/control_plane/prompts/uninstall.md,,"control_plane,module_repo_os",yes,/modules/repo_os/registries/repo_os_registry.csv,,,,required,standard,
