Capability,Location,Purpose,Function,Constraint,Status,Change,Questions,Percent,Response
history.py,the_assist/hrm/,Session history,Stores session summaries with timestamps and search,Experience - keep in assist,New,Keep,,100%,"FULLY IMPLEMENTED. Has: start_session, record_exchange, end_session, search_sessions, is_continuity_question detector. Best use: call start_session on boot, record_exchange after each turn (with topics), end_session on quit. The is_continuity_question() detects 'what were we doing' patterns and loads context only when needed - lazy loading."
integrity.py,the_assist/core/,System integrity,Boot/shutdown with checkpointing and hash verification,Experience - keep in assist,Active,Keep,,100%,"FULLY IMPLEMENTED. Has preflight checks, boot sequence, shutdown sequence, hash-based corruption detection, version log. SHOULD BE GLOBAL - both layers need integrity. Move to shared/ or have locked_system import from the_assist."
test_l2_fastlane.py,AI_ARCH/,L2 fastlane tests,Tests L2 atomic fast lane,Keep at root,New,Keep,,100%,New test file
altitude.py,the_assist/hrm/,Altitude governance,Defines L4/L3/L2/L1 levels and transitions,Experience - keep in assist,Active,Keep,,95%,H/R/M = Horizon(L4-3)/Risk(L3-2)/Moment(L2-1). These are ZONES not levels. Horizon=strategic thinking. Risk=where drift happens. Moment=execution. HRM acronym is confusing because levels are L4-L1 but the zones are what matter for governance.
feedback.py,the_assist/core/,Feedback collection,Logs what works/doesn't for iteration,Experience - keep in assist,Active,Keep,,95%,"WORKS WELL. log_feedback(type='worked|didnt_work|suggestion', note, context, tags). Stores to JSON. get_feedback_summary() and get_session_feedback(since_time) for review. Use it: log_feedback('worked', 'altitude descent blocked me correctly') or ('didnt_work', 'too preachy'). Tags enable filtering later."
main_hrm.py,the_assist/,Entry point for HRM experience,Initializes altitude governance and runs main loop,Experience - keep in assist,Active,Keep,,90%,Fully functional - just needs wiring to locked_system for writes
entities.py,the_assist/core/,Entity types,Data models for core,Experience - keep in assist,Active,Keep,,90%,Stable
settings.py,the_assist/config/,Configuration,App settings and paths,Experience - keep in assist,Active,Keep,,90%,Works
config.py,locked_system/,Configuration,Governance settings,Governance - keep in locked,Active,Keep,,90%,Works
stance.py,locked_system/slow_loop/,Stance machine,4 states: sensemaking/discovery/execution/eval,Governance - keep in locked,Active,Keep,,90%,Fully functional
gates.py,locked_system/slow_loop/,Gate controller,Enforces checkpoints before state changes,Governance - keep in locked,Active,Keep,,90%,Security critical - well implemented
bootstrap.py,locked_system/slow_loop/,Bootstrap protocol,2-stage first-contact (intro + connect),Move to assist,Active,Move,,90%,"FULLY IMPLEMENTED but orphaned. Integration: slow_loop should check is_active on boot. If true, run bootstrap.process_input() instead of normal flow until BootstrapTransitionProposal is returned. Then transition to normal operation. Bootstrap captures user_name and favorite_things."
bundles.py,locked_system/front_door/,Bundle definitions,Defines agent bundles (writer/finance/monitor),Can move to assist,Active,Move to Assist,,90%,Experience configuration - belongs in assist
emotional.py,locked_system/front_door/,Emotional telemetry,Bounded emotional state enums,Governance - keep in locked,Active,Keep,,90%,Well bounded - stays in governance
models.py,locked_system/agents/,Agent models,Data classes for agents,Governance - keep in locked,Active,Keep,,90%,Stable
models.py,locked_system/tools/,Tool models,Data classes for tools,Governance - keep in locked,Active,Keep,,90%,Stable
base.py,locked_system/tools/connectors/,Connector base,Abstract connector interface,Governance - keep in locked,Active,Keep,,90%,Clean interface
models.py,locked_system/lanes/,Lane models,Data classes for lanes,Governance - keep in locked,Active,Keep,,90%,From spec
prompt_compiler.py,locked_system/core/execution/,Prompt compiler,Enforces prompt precedence (laws last),Governance - keep in locked,New,Keep,,90%,"FULLY IMPLEMENTED. Compiles prompts with: 1) Agent context (sandboxed), 2) Executor constraints, 3) Core laws (LAST = highest precedence). Has override detection. Use this instead of ad-hoc prompt building."
run.sh,AI_ARCH/,Root launcher,Dispatches to experiences,Experience - keep at root,Active,Keep,,90%,Works
test_lanes.py,locked_system/tests/,Lane tests,Unit tests for lanes,Keep in tests,Active,Keep,,90%,Good coverage
test_tools.py,locked_system/tests/,Tool tests,Unit tests for tools,Keep in tests,Active,Keep,,90%,Good coverage
loop.py,the_assist/hrm/,HRM orchestration,Coordinates planner/evaluator/executor by altitude,Experience - keep in assist,Active,Keep,,85%,Core loop works. Integration with history.py pending.
memory.py,the_assist/core/,Original memory,Compressed memory system,Experience - keep in assist,Active,Keep,,85%,Works well. Should integrate with locked_system memory bridge
