id,name,entity_type,category,purpose,artifact_path,status,selected,priority,dependencies,version,config
FMWK-001,Repo OS Spec,framework,Governance,"Defines repo operating system: structure, invariants, naming, workflows.",/runbooks/governance/repo_os_spec.md,active,yes,P0,,,"{""ci_gate"": ""required""}"
FMWK-005,Definition of Done (Quality Bar),framework,Governance,"Uniform completion criteria across prompts, code, tests, docs, security.",/runbooks/governance/definition_of_done.md,active,yes,P0,,,"{""ci_gate"": ""required""}"
FMWK-900,Repo OS Module,module,Module,Hierarchical module implementing repo operating system; exposes its own control plane.,/Control_Plane/modules/repo_os/README.md,active,yes,P0,,,"{""child_registry_path"": ""/modules/repo_os/registries/repo_os_registry.csv"", ""ci_gate"": ""required""}"
MOD-DFW-001,Design Framework Module,module,Module,Provides Spec Pack + Gates templates and an apply script to anchor agent builds.,/Control_Plane/modules/design_framework/README.md,active,yes,P0,,0.1.0,"{ ""ci_gate"": ""required"", ""child_registry_path"": ""/modules/design_framework/registries/design_framework_registry.csv"" }"
MOD-MEM-001,File Memory Bus,module,memory_bus,Simple file-based memory storage,/Control_Plane/modules/slots/memory_bus_file.py,active,no,P1,,0.1.0,"{""slot"": ""memory_bus"", ""interface"": ""MemoryBusInterface""}"
MOD-LLM-001,Anthropic Provider,module,llm_provider,Claude API provider,/Control_Plane/modules/slots/llm_anthropic.py,active,no,P1,,0.1.0,"{""slot"": ""llm_provider"", ""interface"": ""LLMProviderInterface""}"
PRMPT-001,Control Plane Install,prompt,control_plane,Install template used by apply/agents.,/Control_Plane/control_plane/prompts/install.md,active,yes,P0,,,
PRMPT-002,Control Plane Update,prompt,control_plane,Update template used by apply/agents.,/Control_Plane/control_plane/prompts/update.md,active,yes,P0,,,
PRMPT-003,Control Plane Verify,prompt,control_plane,Verify template used by CI/agents.,/Control_Plane/control_plane/prompts/verify.md,active,yes,P0,,,
PRMPT-004,Control Plane Uninstall,prompt,control_plane,Uninstall template used by apply/agents.,/Control_Plane/control_plane/prompts/uninstall.md,active,yes,P1,,,
PRMPT-010,Repo OS Bootstrap Meta-Prompt,prompt,bootstrap,One-shot prompt to scaffold repo OS into an empty repo.,/Control_Plane/prompts/bootstrap_repo_os.md,active,no,P0,,,
PRMPT-011,Framework Install Meta-Prompt,prompt,ops,Prompt that installs selected frameworks from registry plan.,/Control_Plane/prompts/install_selected_frameworks.md,active,no,P0,,,
PRMPT-012,Framework Verify Meta-Prompt,prompt,ops,Prompt that verifies selected frameworks and updates status/evidence.,/Control_Plane/prompts/verify_selected_frameworks.md,active,no,P0,,,
