Capability,Location,HRM_Layer,Purpose,Function,Depends_On,Priority,Has_Tests,Needs_Tests,Test_Type,Success_Criteria,Exit_Criteria,Percent,Status,Notes
# ============================================================
# ALTITUDE HRM (Scope Governance - L4/L3/L2/L1)
# ============================================================
altitude.py,the_assist/hrm/,Altitude,Scope governance,Governs attention scope via L4-L1 levels,None,P0,No,Yes,Unit+Integration,"Level detection accurate >90%; Descent blocking works; Fast lane triggers correctly","All level transitions tested; Friction detection works",95%,Active,"Core of altitude system. Token-efficient patterns already exist."
loop.py,the_assist/hrm/,Altitude,HRM orchestration,Coordinates planner/evaluator/executor by altitude,altitude.py,P0,No,Yes,Integration,"Orchestrates correctly at each level; Integrates with history.py","Full turn cycle works at all 4 levels",85%,Active,"Integration with history.py pending"
planner.py,the_assist/hrm/,Altitude,Planning layer,Generates plans at current altitude,altitude.py;loop.py,P1,No,Yes,Unit+Integration,"Plans respect altitude constraints; Submits to Focus HRM for validation","Plans at L4/L3/L2/L1 all generate correctly",75%,Active,"Should use Focus HRM gates for validation"
evaluator.py,the_assist/hrm/,Altitude,Evaluation layer,Assesses plans and results,altitude.py;loop.py,P1,No,Yes,Unit+Integration,"Evaluation scores accurate; Integrates with continuous_eval","Evaluation at all levels works; Feedback loop closed",75%,Active,"Should integrate with Focus HRM continuous_eval"
executor.py,the_assist/hrm/,Execution layer,Runs approved actions,planner.py;evaluator.py,P1,No,Yes,Integration,"All writes delegated to Focus HRM; No direct side effects","Execution audit trail complete",70%,Active,"MUST delegate writes to Focus HRM - currently doesn't"
history.py,the_assist/hrm/,Altitude,Session history,Stores session summaries with timestamps and search,None,P1,No,Yes,Unit,"start_session/record_exchange/end_session work; Continuity detection >80%","Session persistence verified; Search works",100%,Active,"Fully implemented. Lazy loading pattern."
intent.py,the_assist/hrm/,Altitude,Intent detection,Detects user intent from input,None,P2,No,Yes,Unit,"Intent classification >80% accuracy","All intent types detected correctly",60%,Active,"Should unify with Focus HRM signal detection"
main_hrm.py,the_assist/,Altitude,Entry point,Initializes altitude governance and runs main loop,loop.py;altitude.py,P0,No,Yes,Integration,"Boot sequence completes; Wired to Focus HRM","End-to-end turn works",90%,Active,"Entry point for Altitude HRM"
# ============================================================
# FOCUS HRM (Control Governance - Gates/Stance/Lanes)
# ============================================================
loop.py,locked_system/,Focus,Two-tempo loop,Runs slow governance + fast execution,stance.py;gates.py,P0,No,Yes,Integration,"Slow/fast tempo correct; Gate enforcement works","Full governance cycle tested",85%,Active,"Core governance loop"
stance.py,locked_system/slow_loop/,Focus,Stance machine,4 states: sensemaking/discovery/execution/eval,None,P0,Yes,Yes,Unit,"State transitions valid; Invalid transitions blocked","All 4 states + transitions tested",90%,Active,"test_* files exist"
gates.py,locked_system/slow_loop/,Focus,Gate controller,Enforces checkpoints before state changes,stance.py,P0,Yes,Yes,Unit+Integration,"Gates block unauthorized actions; Approval flow works","All gate types tested",90%,Active,"Security critical"
commitment.py,locked_system/slow_loop/,Focus,Commitment manager,Tracks commitments with leases,gates.py,P1,No,Yes,Unit,"Lease expiry works; Commitment tracking accurate","Lease lifecycle tested",85%,Active,"Works"
bootstrap.py,locked_system/slow_loop/,Focus,Bootstrap protocol,2-stage first-contact (intro + connect),None,P2,No,Yes,Integration,"Bootstrap flow completes; User data captured","Full bootstrap cycle tested",90%,Orphan,"Move to Altitude HRM experience layer"
executor.py,locked_system/fast_loop/,Focus,Fast executor,Runs approved actions quickly,gates.py,P0,Yes,Yes,Unit+Integration,"Only approved actions execute; Audit trail complete","All action types tested",80%,Active,"Works"
hrm.py,locked_system/fast_loop/,Focus,HRM bridge,Connects Altitude HRM to Focus HRM,executor.py,P1,No,Yes,Integration,"Bridge passes data correctly both directions","Round-trip data integrity verified",70%,Active,"Bridge layer"
continuous_eval.py,locked_system/fast_loop/,Focus,Continuous eval,Monitors execution quality,executor.py,P1,No,Yes,Unit,"Quality signals accurate; Triggers escalation correctly","All signal types tested",75%,Active,"Works"
# ============================================================
# FOCUS HRM - Front Door (Routing)
# ============================================================
agent.py,locked_system/front_door/,Focus,Front-door routing,Detects signals and proposes gates/bundles,signals.py;bundles.py,P1,Yes,Yes,Integration,"Signal→Gate mapping correct; Bundle proposals valid","All signal types route correctly",85%,Active,"Cognitive router - proposal only"
signals.py,locked_system/front_door/,Focus,Signal detection,Detects intent signals from input,None,P1,Yes,Yes,Unit,"Signal detection >85% accuracy","All signal types detected",85%,Active,"Detection logic stays in Focus HRM"
