Capability,Location,HRM_Layer,Purpose,Function,Status,Percent,Depends_On,Priority,Notes
# ============================================================
# FOUNDATION (M0.0)
# ============================================================
bus.py,shared/memory/,Foundation,Memory Bus,Main memory bus class with 4 compartments,To Build,0%,-,P0,"NEW: Core memory abstraction. All HRMs use this."
working_set.py,shared/memory/,Foundation,Working Set Store,Per-problem isolated memory with TTL,To Build,0%,bus.py,P0,"NEW: Problem isolation. Expires aggressively."
shared_reference.py,shared/memory/,Foundation,Shared Reference Store,Versioned cross-problem facts,To Build,0%,bus.py,P0,"NEW: North stars, priorities. Citable."
episodic_trace.py,shared/memory/,Foundation,Episodic Trace Store,Append-only audit logs,To Build,0%,bus.py,P0,"NEW: Never overwritten. Searchable by time/tags."
semantic_synthesis.py,shared/memory/,Foundation,Semantic Synthesis Store,Evidence-linked patterns,To Build,0%,bus.py,P1,"NEW: Distilled conclusions with evidence chain."
write_gate.py,shared/memory/,Foundation,Write Gate Policy,Signal-based write decisions,To Build,0%,bus.py,P0,"NEW: Blast radius, conflict, alignment checks."
problem_registry.py,shared/memory/,Foundation,Problem Registry,Multi-problem management,To Build,0%,bus.py,P1,"NEW: Active/paused/background problem states."
tracer.py,shared/tracing/,Foundation,Tracer,Observability singleton,To Build,0%,-,P1,"NEW: Trace events with parent/child correlation."
viewer.py,shared/tracing/,Foundation,Trace Viewer,CLI trace viewer,To Build,0%,tracer.py,P2,"NEW: View/filter trace logs."
compression.py,shared/memory/,Foundation,Compression,Token-efficient encoding,To Build,0%,-,P1,"Migrate from memory_v2.py PATTERN_CODES."
# ============================================================
# ALTITUDE HRM (the_assist/hrm/)
# ============================================================
altitude.py,the_assist/hrm/,Altitude,Altitude Governance,L4/L3/L2/L1 level detection and enforcement,Active,95%,-,P0,"Core altitude governor. Request type classification."
loop.py,the_assist/hrm/,Altitude,HRM Loop,Orchestrates planner/evaluator/executor,Active,85%,altitude.py,P0,"Needs Focus HRM integration."
planner.py,the_assist/hrm/,Altitude,Planning Layer,Generates plans at current altitude,Active,75%,altitude.py,P1,"Works standalone."
evaluator.py,the_assist/hrm/,Altitude,Evaluation Layer,Assesses plans and results,Active,75%,altitude.py,P1,"Should integrate with continuous_eval."
executor.py,the_assist/hrm/,Altitude,Execution Layer,Runs approved actions,Active,70%,altitude.py,P1,"Should delegate writes to Focus HRM."
history.py,the_assist/hrm/,Altitude,Session History,Stores session summaries with search,Active,100%,-,P1,"Fully implemented. Lazy loading."
# ============================================================
# REASONING HRM (the_assist/reasoning/) - TO BUILD
# ============================================================
router.py,the_assist/reasoning/,Reasoning,Reasoning Router,Main strategy selection and agent proposal,To Build,0%,classifier.py,P1,"NEW: Core of Reasoning HRM. Proposes AgentBundleProposal."
