id,created_item,category,description,artifact_or_output,status,priority,why_it_matters,state,Prompt file name,Purpose
1,Archive + Clean Init meta-prompt (idempotent),governance,Meta-prompt that archives legacy repo and creates clean scaffold; safe re-runs,Clean-init meta-prompt block,created,High,Safe resets without losing history,exists,01_archive_clean_init_meta_prompt.md,Full clean-init + archive meta-prompt (the “big hammer”)
2,Prompt governance model (P000/P001 + index.csv concept),prompts,Prompts as versioned artifacts; index.csv as source of truth,P000/P001 + index.csv schema,created,High,Prevents prompt drift and enables tracking,exists,02_prompt_governance_model.md,"Prompt governance rules (P000/P001, index.csv)"
3,Claude reliability anchor concept (CLAUDE.md),governance,Root rules file to pin Claude behavior to repo standards,CLAUDE.md spec,created,High,Anchors behavior across sessions,exists,03_claude_reliability_anchor.md,CLAUDE.md behavior anchoring
4,CI guardrails concept,ci_cd,GitHub Actions guardrails to enforce governance,repo_guardrails.yml spec,created,Medium,Automated enforcement in PRs,exists,04_ci_guardrails_prompt.md,GitHub Actions guardrails enforcement
5,Local hooks concept,governance,Pre-commit blocking v1 prompt edits + index update warnings,install-hooks.sh + pre-commit spec,created,Medium,Stops violations before PR,exists,05_local_hooks_prompt.md,Local git hooks (pre-commit enforcement)
6,Prompt tracking CSV (starter),prompts,Downloadable prompts_index.csv for tracking prompts,prompts_index.csv,created,High,Excel-friendly registry,exists,06_prompt_tracking_csv.md,Prompt registry / tracking CSV generation
7,Missing items tracker CSV,governance,Downloadable backlog of remaining Repo OS components,repo_os_missing_items.csv,created,High,Execution tracking,exists,07_missing_items_tracker.md,Missing-items / backlog tracking CSV
8,Single-command installer,installer,Create a non-interactive install command to deploy Repo OS,scripts/repo_os_install.sh or install.py,planned,High,Enables repeatable automation,not started,,
9,Template distribution mechanism,distribution,Provide GitHub template or packaged standards bundle,Template repo or standards_bundle.zip,planned,High,Removes copy/paste,not started,,
10,Non-interactive config file,configuration,Machine-readable config to drive installs/upgrades,repo_os.yaml,planned,High,Deterministic installs,not started,,
11,Policy enforcement boundary,governance,Define hard vs soft enforcement rules,Policy spec section,planned,Medium,Prevents brittleness,not started,,
12,Repo OS versioning,versioning,Track which Repo OS version is installed,REPO_OS_MANIFEST.json,planned,High,Upgrade safety,not started,,
13,Upgrade / migration workflow,upgrade,Safe upgrade path across Repo OS versions,repo_os_upgrade.sh,planned,High,Scales to many repos,not started,,
14,CI/CD preset matrix,ci_cd,Reusable CI presets by runtime,Reusable workflows,planned,Medium,Consistency across repos,not started,,
15,Prompt index enforcement,governance,CI rule: prompt add requires index update,Diff-based CI check,planned,Medium,Prevents registry drift,not started,,
16,Protected files ownership,governance,Require reviews for core governance files,.github/CODEOWNERS,planned,Low,Defense in depth,not started,,
17,Supply-chain baseline,security,Secret scanning and minimal permissions,Security workflow,planned,Low,Enterprise readiness,not started,,
